Date,Close/Last,Volume,Open,High,Low,Symbol
2024-08-22,224.53,43695320,227.79,228.34,223.9,AAPL
2024-08-21,226.4,34765480,226.52,227.98,225.05,AAPL
2024-08-20,226.51,30299030,225.77,227.17,225.45,AAPL
2024-08-19,225.89,40687810,225.72,225.99,223.04,AAPL
2024-08-16,226.05,44340240,223.92,226.8271,223.6501,AAPL
2024-08-15,224.72,46414010,224.6,225.35,222.76,AAPL
2024-08-14,221.72,41960570,220.57,223.03,219.7,AAPL
2024-08-13,221.27,44155330,219.01,221.89,219.01,AAPL
2024-08-12,217.53,38028090,216.07,219.5099,215.6,AAPL
2024-08-09,216.24,42201650,212.1,216.78,211.97,AAPL
2024-08-08,213.31,47161150,213.11,214.2,208.83,AAPL
2024-08-07,209.82,63516420,206.9,213.64,206.39,AAPL
2024-08-06,207.23,69660490,205.3,209.99,201.07,AAPL
2024-08-05,209.27,119548600,199.09,213.5,196,AAPL
2024-08-02,219.86,105568600,219.15,225.6,217.71,AAPL
2024-08-01,218.36,62501000,224.37,224.48,217.02,AAPL
2024-07-31,222.08,50036260,221.44,223.82,220.63,AAPL
2024-07-30,218.8,41643840,219.19,220.325,216.12,AAPL
2024-07-29,218.24,36311780,216.96,219.3,215.75,AAPL
2024-07-26,217.96,41601350,218.7,219.49,216.01,AAPL
2024-07-25,217.49,51391200,218.93,220.85,214.62,AAPL
2024-07-24,218.54,61777580,224,224.8,217.13,AAPL
2024-07-23,225.01,39960260,224.365,226.94,222.68,AAPL
2024-07-22,223.96,48201840,227.01,227.78,223.09,AAPL
2024-07-19,224.31,49151450,224.82,226.8,223.275,AAPL
2024-07-18,224.18,66034590,230.28,230.44,222.27,AAPL
2024-07-17,228.88,57345880,229.45,231.4599,226.64,AAPL
2024-07-16,234.82,43234280,235,236.27,232.33,AAPL
2024-07-15,234.4,62631250,236.48,237.23,233.09,AAPL
2024-07-12,230.54,53046530,228.92,232.64,228.68,AAPL
2024-07-11,227.57,64710620,231.39,232.39,225.77,AAPL
2024-07-10,232.98,62627690,229.3,233.08,229.25,AAPL
2024-07-09,228.68,48169820,227.93,229.4,226.3721,AAPL
2024-07-08,227.82,59085860,227.09,227.85,223.25,AAPL
2024-07-05,226.34,60412410,221.65,226.45,221.65,AAPL
2024-07-03,221.55,37369800,220,221.55,219.03,AAPL
2024-07-02,220.27,58046180,216.15,220.38,215.1,AAPL
2024-07-01,216.75,60402930,212.09,217.51,211.92,AAPL
2024-06-28,210.62,82542720,215.77,216.07,210.3,AAPL
2024-06-27,214.1,49772710,214.69,215.7395,212.35,AAPL
2024-06-26,213.25,66213190,211.5,214.86,210.64,AAPL
